MeSH	disease
Arteriovenous Malformations	CDH
Arteriovenous Fistula	CDH
Carotid-Cavernous Sinus Fistula	CDH
Intracranial Arteriovenous Malformations	CDH
Vein of Galen Malformations	CDH
De Lange Syndrome	CDH
Fanconi Anemia	CDH
"Heart Defects, Congenital"	CDH
22q11 Deletion Syndrome	CDH
DiGeorge Syndrome	CDH
Alagille Syndrome	CDH
Aortic Coarctation	CDH
Aortico-Ventricular Tunnel	CDH
Arrhythmogenic Right Ventricular Dysplasia	CDH
Barth Syndrome	CDH
Bicuspid Aortic Valve Disease	CDH
Cor Triatriatum	CDH
Coronary Vessel Anomalies	CDH
Anomalous Left Coronary Artery	CDH
Bland White Garland Syndrome	CDH
Myocardial Bridging	CDH
Crisscross Heart	CDH
Dextrocardia	CDH
Kartagener Syndrome	CDH
"Ductus Arteriosus, Patent"	CDH
Ebstein Anomaly	CDH
Ectopia Cordis	CDH
Eisenmenger Complex	CDH
Heart Septal Defects	CDH
Aortopulmonary Septal Defect	CDH
"Truncus Arteriosus, Persistent"	CDH
Endocardial Cushion Defects	CDH
"Heart Septal Defects, Atrial"	CDH
"Foramen Ovale, Patent"	CDH
Lutembacher Syndrome	CDH
"Heart Septal Defects, Ventricular"	CDH
Double Outlet Right Ventricle	CDH
Heterotaxy Syndrome	CDH
Hypoplastic Left Heart Syndrome	CDH
Isolated Noncompaction of the Ventricular Myocardium	CDH
LEOPARD Syndrome	CDH
Levocardia	CDH
Marfan Syndrome	CDH
Noonan Syndrome	CDH
Quadricuspid Aortic Valve	CDH
Tetralogy of Fallot	CDH
Transposition of Great Vessels	CDH
Congenitally Corrected Transposition of the Great Arteries	CDH
Double Outlet Right Ventricle	CDH
Tricuspid Atresia	CDH
Trilogy of Fallot	CDH
Trisomy 13 Syndrome	CDH
Trisomy 18 Syndrome	CDH
Turner Syndrome	CDH
Univentricular Heart	CDH
Wolff-Parkinson-White Syndrome	CDH
"Hernia, Diaphragmatic"	CDH
"Hernias, Diaphragmatic, Congenital"	CDH
