publications2	entries	PMID
"(Ohno 2011 Circ Arrhythm Electrophysiol 4,352"	26879	21493962
"(Roessler 2008 Am J Hum Genet 83,18 18538293"	3674;22175	18538293
"16465618,16274666, 24117009"	71063;97843	16465618;16274666;24117009
20045868 (two variants identified in two families with Distal arthrogryposis type I)	1423	20045868
"223,667,832,505,231,000,000,000"	71060;97835	None
"23877401, 23359570"	71892;100986	23877401;23359570
26846950	68879	26846950
"3,202,138,030,372,560"	71079;97907	None
"32250532, 32776697"	72678	32250532;32776697
"3,458,748,934,489,850"	71883;100941	None
:28485813	3128	28485813
Abou Jamra et al. 2011	705;22034	21620353
Abou Jamra et al. 2011 i	702;22031	21620353
"Akizu, N., Cantagrel, V., Schroth, J., Cai, N., Vaux, K., McCloskey, D., Naviaux, R. K., Van Vleet, J., Fenstermaker, A. G., Silhavy, J. L., Scheliga, J. S., Toyama, K., and 16 others. AMPD2 regulates GTP synthesis and is mutated in a potentially treatable neurodegenerative brainstem disorder. Cell 154: 505-517, 2013. http://www.omim.org/clinicalSynopsis/615809"	3434	23911318
Aldahmesh 2012 Genet Med 1412:955-962	2998	22935719
"Aldahmesh 2012 Genet Med 1412:955-962, 22935719"	2958	22935719
Aldahmesh et al 2012 Hum. Mutat. 33: 960-962	2826	22415731
Alfadhli et al 2012 Mol. Vis. 18: 2931-2936	2969	23288985
"Ali  M, Cox  TM 1995 and Cross, NCP  Cox  TM."	30482	7717389;2623136
Alizadeh et al 2003 Invest Ophthalmol Vis Sci 43:3722-7	2833	14638724
Aragon-Martin et al 2010 Hum Mutat 31:E1622-E1633	2956;2975	20564469
Aridon et al 2006 Am J Hum Genet 79: 342-350	15224;36178;56071	16826524
Atay et al 2013 Gene 515:197-9 23235116	3028	23235116
BVVL	21506	None
Barcia at al 2012 Nature Genet 4411: 1255-1261	15418;38003;56554	23086397
Baroy et al 2015 Hum Mol Genet 2420:5845-5854	2915	26220973
Baser et al 2011 Genet Med 136:576-581	2897	21451418
"Bayat 2012,  22448145"	415	22448145
Beetz et al. 2013	918	23479643
Berg et al 1999 Am j Hum Genet 64:77-88	2889	9915946
Berry et al 2004 J. Med. Genet. 41: e109	2919	15286169
"Besse et al., 2015, Cell Metab., 213, 417-427 25738457"	4935;32213	25738457
Bienvenu et al 2002 Hum Mol Genet 118: 981-991	15171;35603;55955	11971879
Bongers et al 2005 Eur j Hum Genet 13:935-946	2992	15928687
Boukhris et al. 2013	724;22038	23746551
Boyadjiev et al 2006 Nature Genet. 38: 1192-1197	3017	16980979
Boyadjiev et al 2011 Clin. Genet. 80: 169-176.	3017	21039434
Brown-Vialetto-Van Laere syndrome 2	21506	None
"Canavan disease, MIM# 271900"	538	None
Cancer Gene Census	20208;20209;20211;20212;20224;20227;20228;20229;20230;20247;20251;20255;20280;20283;20290;20317;20318;20320;20321;20331;20334;20335;20336;20337;20352;20356;20360;20385;20388;20395	None
Chassaing et al 2016 Genome Res. 26: 474-485	3013	26893459
Chen et al 2011 Nature Genet 4312: 1252-1256	15561;39554;57013	22101681
